well,aquifer,pH,EC,Redox,DOC,chloride,oxygen,nitrate,nitrite,sulfate,sulfide
,,,μS/cm,mV,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
323(9),1,5.6,322,152,6.1,7,0.3,122,0.58,35,0
A036(7.8),1,5,405,204,7.2,6,0.9,5,0,25,0
A012(8.5),1,5.1,223,87,4.6,3,0.1,3,0.03,17,0
A005(8.5),1,5.3,58,210,2.9,4,0.5,180,1,9,0
A005(12),1,5.9,363,93,13.5,15,0,5,0.02,8,0
A010(12),1,6.4,400,-30,53.2,2,0,0,0,2,0
A003(10.8),1,6,144,8,7.2,2,0.2,72,0.36,8,0
A026(10.7),1,6.3,182,33,14.3,1,0.2,36,0.11,0,0
352(9),1,5.3,229,180,3.5,17,0.1,123,1.09,24,0
4016(16),2,6,279,-11,3.5,18,0.2,118,0.58,17,0
1024(16),2,6.4,563,78,1.5,52,0.3,102,0.51,6,0
A003(21),2,6.4,253,-23,3,6,0.2,66,0.26,7,0
4031(17),2,6,194,-45,7.5,12,0,59,0.21,5,1
4031(21),2,6.2,2,-90,7.4,3,0,33,0.1,0,0
4031(30),2,6.3,231,-62,14.6,1,0,27,0.06,0,0
A005(22),2,5.8,410,153,5.9,11,0,37,0.11,3,0
A005(31),2,6.7,322,-92,11.7,4,0.2,67,0.27,0,0
A005(39),2,6.7,351,-115,9,12,0.1,115,0.55,2,0
A039(21),2,6.1,605,62,5.8,13,0.1,0,0.02,2,0
A044(18),2,6.2,296,1,10.6,31,0.1,0,0,0,0
A044(22),2,6.1,256,3,10.7,31,0.1,0,0.1,0,0
A044(24),2,6.1,359,-75,8.1,6,0.1,0,0,1,0
A044(30),2,6.7,434,-78,5.3,3,0.1,0,0,2,0
A044(40),2,6.8,388,-92,3.3,1,0.2,0,0,1,0
A044(42),2,6.6,434,78,2.5,2,0.2,0,0,1,0
A044(54),2,6.5,292,129,1.4,1,0.1,4,0,2,0
241(16),2,5.7,401,102,4.5,11,0.1,54,0.2,7,0
241(21),2,6.3,366,-32,4.8,43,0.2,180,1.08,0,0
241(30),2,6.2,310,-20,6.5,10,0.2,84,0.36,0,0
241(36),2,5.5,351,150,5.5,24,0.2,158,0.9,31,0
323(21),2,7,539,-86,1.4,15,0.2,68,0.28,12,0
1033(22),2,7.1,500,-145,2.4,1,1.1,39,0.13,0,0
320(21),2,7.3,834,-131,3.6,84,0.2,181,1.14,40,0
